"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 11- 14","53.11","52.44","53.43","52.32","2.44M","1.96%"
"2023- 11- 13","52.09","51.88","52.19","51.72","1.65M","-0.04%"
"2023- 11- 10","52.11","51.58","52.25","51.42","1.85M","1.34%"
"2023- 11- 09","51.42","52.00","52.03","51.30","2.09M","-0.62%"
"2023- 11- 08","51.74","51.31","52.08","51.20","2.52M","1.07%"
"2023- 11- 07","51.19","50.92","51.58","50.60","2.26M","0.91%"
"2023- 11- 06","50.73","50.10","51.22","50.05","2.65M","1.02%"
"2023- 11- 03","50.22","50.15","50.51","49.83","2.02M","0.72%"
"2023- 11- 02","49.86","49.02","49.87","48.82","2.64M","2.36%"
"2023- 11- 01","48.71","49.79","49.86","48.47","2.39M","-1.79%"
"2023- 10- 31","49.60","49.06","49.65","48.88","1.74M","1.41%"
"2023- 10- 30","48.91","47.78","49.04","47.72","2.36M","2.77%"
"2023- 10- 27","47.59","49.32","49.41","47.56","2.97M","-4.25%"
"2023- 10- 26","49.70","49.62","50.53","49.62","1.91M","0.42%"
"2023- 10- 25","49.49","49.40","49.87","48.92","1.97M","0.06%"
"2023- 10- 24","49.46","50.07","50.38","49.12","2.03M","-0.72%"
"2023- 10- 23","49.82","50.30","50.54","49.77","2.02M","-1.54%"
"2023- 10- 20","50.60","51.30","51.54","50.38","2.80M","-1.35%"
"2023- 10- 19","51.29","52.02","52.04","51.28","2.88M","-1.21%"
"2023- 10- 18","51.92","51.29","53.30","50.87","6.68M","3.99%"
"2023- 10- 17","49.93","50.30","50.71","49.87","3.68M","-0.74%"
"2023- 10- 16","50.30","49.75","50.38","49.66","2.30M","1.88%"
"2023- 10- 13","49.37","49.53","49.58","49.06","1.54M","0.10%"
"2023- 10- 12","49.32","49.72","49.95","49.13","2.16M","-0.68%"
"2023- 10- 11","49.66","49.87","50.04","49.40","2.15M","-0.42%"
"2023- 10- 10","49.87","49.85","50.10","49.23","2.28M","0.28%"
"2023- 10- 09","49.73","49.41","49.92","49.36","1.58M","0.24%"
"2023- 10- 06","49.61","48.90","49.81","48.86","1.96M","1.20%"
"2023- 10- 05","49.02","48.78","49.19","48.58","2.08M","0.49%"
"2023- 10- 04","48.78","47.38","48.87","47.38","3.24M","3.24%"
"2023- 10- 03","47.25","47.92","48.00","46.88","3.44M","-2.42%"
"2023- 10- 02","48.42","48.53","48.54","48.07","3.12M","-0.35%"
"2023- 09- 29","48.59","49.25","49.27","48.34","1.71M","-0.67%"
"2023- 09- 28","48.92","48.39","49.30","48.39","2.03M","1.22%"
"2023- 09- 27","48.33","48.23","48.55","47.89","2.01M","0.73%"
"2023- 09- 26","47.98","48.16","48.51","47.88","1.87M","-1.36%"
"2023- 09- 25","48.64","48.48","48.68","48.19","1.66M","-0.06%"
"2023- 09- 22","48.67","48.88","49.18","48.62","1.64M","-0.35%"
"2023- 09- 21","48.84","50.33","50.36","48.83","1.95M","-3.42%"
"2023- 09- 20","50.57","51.14","51.33","50.53","1.62M","-0.71%"
"2023- 09- 19","50.93","51.00","51.38","50.76","2.13M","-0.18%"
"2023- 09- 18","51.02","50.66","51.15","50.53","1.49M","0.49%"
"2023- 09- 15","50.77","51.47","51.67","50.76","2.70M","-1.36%"
"2023- 09- 14","51.47","51.09","51.49","50.88","1.83M","0.72%"
"2023- 09- 13","51.10","51.47","51.57","50.92","1.98M","-0.72%"
"2023- 09- 12","51.47","51.24","51.58","51.21","1.53M","0.19%"
"2023- 09- 11","51.37","51.69","51.78","51.08","1.66M","-0.12%"
"2023- 09- 08","51.43","51.66","51.76","51.27","3.02M","-0.45%"
"2023- 09- 07","51.66","51.51","51.70","51.21","1.80M","0.16%"
"2023- 09- 06","51.58","50.86","52.03","50.68","2.49M","1.72%"
"2023- 09- 05","50.71","51.80","51.86","50.65","3.21M","-2.37%"
"2023- 09- 01","51.94","52.65","52.72","51.81","2.94M","-1.03%"
"2023- 08- 31","52.48","52.76","53.06","52.35","2.83M","-0.34%"
"2023- 08- 30","52.66","53.28","53.48","52.48","2.15M","-1.27%"
"2023- 08- 29","53.34","53.35","54.15","52.95","1.68M","0.32%"
"2023- 08- 28","53.17","52.82","53.49","52.75","1.63M","0.83%"
"2023- 08- 25","52.73","52.39","52.95","52.19","1.87M","0.76%"
"2023- 08- 24","52.33","52.70","53.44","52.30","2.14M","-0.61%"
"2023- 08- 23","52.65","52.00","52.72","51.67","2.31M","1.33%"
"2023- 08- 22","51.96","51.95","52.10","51.63","2.59M","0.33%"
"2023- 08- 21","51.79","51.80","51.95","51.27","2.30M","-0.02%"
"2023- 08- 18","51.80","51.32","51.90","51.19","3.38M","0.25%"
"2023- 08- 17","51.67","50.95","52.28","50.90","5.20M","1.61%"
"2023- 08- 16","50.85","50.30","51.14","50.18","2.46M","0.55%"
"2023- 08- 15","50.57","50.92","51.11","50.44","1.92M","-1.00%"
"2023- 08- 14","51.08","50.96","51.33","50.91","2.68M","0.24%"
"2023- 08- 11","50.96","51.40","51.89","50.91","2.66M","-1.07%"
"2023- 08- 10","51.51","50.63","51.79","50.54","3.54M","2.08%"
"2023- 08- 09","50.46","49.88","50.67","49.82","2.65M","0.84%"
"2023- 08- 08","50.04","49.67","50.28","49.40","2.25M","0.08%"
"2023- 08- 07","50.00","49.66","50.10","49.63","1.73M","1.11%"
"2023- 08- 04","49.45","49.53","50.31","49.38","2.01M","0.14%"
"2023- 08- 03","49.38","49.56","49.64","49.10","2.66M","-0.58%"
"2023- 08- 02","49.67","49.83","50.07","49.50","2.19M","-1.13%"
"2023- 08- 01","50.24","50.31","50.46","50.08","2.06M","-0.50%"
"2023- 07- 31","50.49","50.69","50.71","50.28","2.17M","0.00%"
"2023- 07- 28","50.49","50.31","50.65","50.01","1.83M","0.44%"
"2023- 07- 27","50.27","50.88","51.55","50.13","2.08M","-1.28%"
"2023- 07- 26","50.92","50.94","51.33","50.72","2.50M","-0.29%"
"2023- 07- 25","51.07","51.03","51.36","50.90","2.82M","0.04%"
"2023- 07- 24","51.05","50.90","51.25","50.58","3.48M","0.67%"
"2023- 07- 21","50.71","50.05","50.90","49.61","11.49M","2.22%"
"2023- 07- 20","49.61","50.66","50.66","49.15","4.73M","-1.63%"
"2023- 07- 19","50.43","51.65","52.55","50.32","5.67M","-1.85%"
"2023- 07- 18","51.38","51.04","51.50","50.83","5.42M","0.94%"
"2023- 07- 17","50.90","50.54","50.97","50.12","3.63M","0.57%"
"2023- 07- 14","50.61","51.37","51.60","50.54","3.23M","-1.09%"
"2023- 07- 13","51.17","50.16","51.28","50.09","3.14M","2.34%"
"2023- 07- 12","50.00","50.07","50.28","49.83","2.75M","0.58%"
"2023- 07- 11","49.71","49.06","49.75","48.98","3.78M","1.24%"
